Layer,Shape,Min,Max,Mean,Std
stage_3_block_11_mlp_depth,30x40x128,-0.7250,0.7185,-0.0212,0.2535
stage_3_block_12_attn_rgb,30x40x256,-0.2453,0.2749,-0.0013,0.0617
stage_3_block_12_attn_depth,30x40x128,-0.3004,0.3025,0.0004,0.0607
stage_3_block_12_mlp_rgb,30x40x256,-1.0672,1.0189,0.0020,0.2560
stage_3_block_12_mlp_depth,30x40x128,-0.7666,0.8860,-0.0163,0.2303
stage_4_downsample_rgb,512x15x20,-0.4470,0.4801,-0.0034,0.0803
stage_4_downsample_depth,256x15x20,-0.1135,0.1283,0.0010,0.0359
stage_4_block_1_attn_rgb,15x20x512,-0.2331,0.2213,0.0016,0.0555
stage_4_block_1_attn_depth,15x20x256,-0.2116,0.2038,0.0003,0.0553
stage_4_block_1_mlp_rgb,15x20x512,-1.1361,1.0824,0.0097,0.2607
stage_4_block_1_mlp_depth,15x20x256,-0.8750,0.8732,-0.0267,0.2521
stage_4_block_2_attn_rgb,15x20x512,-0.2415,0.2612,-0.0004,0.0595
stage_4_block_2_attn_depth,15x20x256,-0.6450,0.6982,0.0128,0.1979
stage_4_block_2_mlp_rgb,15x20x512,-0.9341,1.0798,0.0014,0.2477
stage_1_final_output,64x120x160,-1.5525,1.9007,0.0218,0.4033
stage_2_final_output,128x60x80,-1.1078,1.0067,-0.0105,0.2331
stage_3_final_output,256x30x40,-0.7593,0.8147,-0.0024,0.1371
stage_4_final_output,512x15x20,-0.4470,0.4801,-0.0034,0.0803
